Validation Metrics:
              Metric | Value
                             src/main/java/de/viadee/sonarissuescoring/service/prediction/train/MLService.java | 0.264
                src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProvider.java | 0.258
                                 src/main/java/de/viadee/sonarissuescoring/service/sonar/SonarIssueSource.java | 0.254
                src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/AuthorCountExtractor.java | 0.180
                    src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/FeatureExtractor.java | 0.166
              src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/MetricExtractor.java | 0.165
                                   src/main/java/de/viadee/sonarissuescoring/web/ToStringMessageConverter.java | 0.159
                                src/main/java/de/viadee/sonarissuescoring/service/desirability/RatingType.java | 0.047
                                src/main/java/de/viadee/sonarissuescoring/service/misc/ParallelismManager.java | -0.009
                            src/main/java/de/viadee/sonarissuescoring/service/prediction/load/StringCache.java | -0.073

