Validation Metrics:
              Metric | Value
                                src/main/java/de/viadee/sonarissuescoring/service/desirability/ServerInfo.java | 0.401
                         src/main/java/de/viadee/sonarissuescoring/service/desirability/IssueDesirability.java | 0.401
                                    src/main/java/de/viadee/sonarissuescoring/service/desirability/Rating.java | 0.399
                 src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/CommitTimeExtractor.java | 0.393
                        src/main/java/de/viadee/sonarissuescoring/service/prediction/load/RepositoryCache.java | 0.393
                       src/main/java/de/viadee/sonarissuescoring/service/prediction/load/RepositoryLoader.java | 0.386
              src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/DependencyGraph.java | 0.368
                src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProvider.java | 0.358
                            src/main/java/de/viadee/sonarissuescoring/service/prediction/EvaluationResult.java | 0.357
             src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderTag.java | 0.350
                    src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/FeatureExtractor.java | 0.326
                               src/main/java/de/viadee/sonarissuescoring/service/prediction/train/MLInput.java | 0.302
                                    src/main/java/de/viadee/sonarissuescoring/web/EvaluationResultPrinter.java | 0.300
                        src/main/java/de/viadee/sonarissuescoring/service/prediction/EvaluationResultPath.java | 0.293
        src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/AdaptedMetricExecutor.java | 0.291
        src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderSeverity.java | 0.277
                              src/main/java/de/viadee/sonarissuescoring/service/prediction/train/Instance.java | 0.269
                        src/main/java/de/viadee/sonarissuescoring/service/desirability/DesirabilityResult.java | 0.252
            src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderType.java | 0.225
                                   src/main/java/de/viadee/sonarissuescoring/web/ToStringMessageConverter.java | 0.201
       src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderDirectory.java | 0.199
                  src/main/java/de/viadee/sonarissuescoring/service/prediction/train/FilePredictionParams.java | 0.166
                src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/AuthorCountExtractor.java | 0.160
                                 src/main/java/de/viadee/sonarissuescoring/service/sonar/SonarIssueSource.java | 0.158
              src/main/java/de/viadee/sonarissuescoring/service/prediction/extract/source/MetricExtractor.java | 0.137
                        src/main/java/de/viadee/sonarissuescoring/service/desirability/DesirabilitySource.java | 0.127
                             src/main/java/de/viadee/sonarissuescoring/service/prediction/FileInformation.java | 0.114
                          src/main/java/de/viadee/sonarissuescoring/service/prediction/train/H2oMLService.java | 0.114
                            src/main/java/de/viadee/sonarissuescoring/service/prediction/PredictionResult.java | 0.110
                          src/main/java/de/viadee/sonarissuescoring/service/desirability/PathSuffixLookup.java | 0.110
                                       src/main/java/de/viadee/sonarissuescoring/service/PredictionParams.java | 0.109
             src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderAge.java | 0.071
src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderChangePrediction.java | 0.066
    src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderIssuesInFile.java | 0.066
      src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderCentrality.java | 0.066
          src/main/java/de/viadee/sonarissuescoring/service/desirability/calculation/RatingProviderEffort.java | 0.051
                                             src/main/java/de/viadee/sonarissuescoring/web/FileController.java | 0.006
                                            src/main/java/de/viadee/sonarissuescoring/web/IssueController.java | -0.027
                                   src/main/java/de/viadee/sonarissuescoring/SonarIssueScoringApplication.java | -0.029
                                src/main/java/de/viadee/sonarissuescoring/service/desirability/RatingType.java | -0.046
                   src/main/java/de/viadee/sonarissuescoring/web/DesirabilityMapMessageConverterPlaintext.java | -0.055
                             src/main/java/de/viadee/sonarissuescoring/service/prediction/train/MLService.java | -0.066
                                       src/main/java/de/viadee/sonarissuescoring/web/StringTableFormatter.java | -0.089
                            src/main/java/de/viadee/sonarissuescoring/service/prediction/load/StringCache.java | -0.144

